Beech, Turlough, Castlebar, Co. Mayo	€158,500
107 Manor Village, Westport Road, Castlebar, Co. Mayo	€199,500
Cregnanagh, Shrule, Shrule, Co. Mayo	Price on Application
Dringeen, Cong, Co. Mayo	AMV €99,000  (Auction)
The Haven, Carrowbaun, Westport, Co. Mayo	Excess €395,000
79 Chestnut Grove, Castlebar, Co. Mayo	€189,500
Glenmore House On C.165acres, Crossmolina, Co. Mayo	Region €2,800,000
86 Lakeview, Rathbawn Road, Castlebar, Co. Mayo	€299,750
3 Old Knock Road, Claremorris, Co. Mayo	Region €219,000
Davmur, Rathbawn Road, Castlebar, Co. Mayo	€325,000
Cross East, Cross, Cross, Co. Mayo	€295,000
Rostigue, Clogher, Castlebar, Co. Mayo	€269,000
Hawthorn Avenue, Belcarra Road, Castlebar, Co. Mayo	€595,000
Rockfield, Claremorris, Co. Mayo	€450,000
House And Apartment, Prospect, Westport, Co. Mayo	Region €495,000
15 Altamount Street, Westport, Co. Mayo	Excess €215,000
315 Ridgepool Apts, Ballina, Co. Mayo	Region €105,000
Harbour Lights, Capnagower, Clare Island, Westport, Co. Mayo	Region €375,000
19 Ashford Court, Claremorris, Co. Mayo	Region €209,000
The Mews, Main Street, Ballycastle, Co. Mayo	€175,000
